Wind_Speed_mps,Wind_Direction_deg,Cross_Wind_mps,Humidity_%,Temperature_C,Power_Output_MW
11.61,58,12.13,94.53,22.81,4.94
23.87,169,4.57,36.19,24.71,5.23
18.84,187,1.47,43.72,-6.67,4.28
15.77,270,10.26,33.17,6.13,0.25
5.59,189,6.6,52.77,-4.79,1.08
5.59,174,1.83,57.21,28.84,0.31
3.34,50,7.43,48.99,18.05,6.36
21.92,54,0.52,88.01,4.89,3.14
15.83,243,13.64,54.97,-7.14,5.09
18.29,319,3.88,49.67,3.99,9.08
2.47,130,9.94,67.99,4.63,2.49
24.31,306,4.68,39.86,22.83,4.1
21.15,134,7.8,86.15,18.69,7.56
6.88,20,8.2,35.22,29.92,2.29
6.18,328,2.77,99.08,11.25,0.77
6.22,166,14.54,84.06,-4.62,2.9
9.0,273,11.63,43.91,22.1,1.61
14.07,88,14.09,30.39,24.24,9.3
11.93,315,13.42,87.08,15.26,8.08
8.7,13,8.97,79.48,24.69,6.33
